year,week,fantasy_team,opponent,score,opponent_score,canonical_team,canonical_opponent,margin,win,loss,tie,all_play_wins,all_play_losses,all_play_ties,expected_win_rate,weekly_score_rank,teams_that_week,bad_beat_value,bad_beat,severe_bad_beat,brutal_bad_beat,lucky_win,severe_lucky_win
2024,9,The Big Gronkowski,Post Mahomes,128.82,113.4,The Big Gronkowski,Post Mahomes,15.419999999999987,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2019,9,Big Sack Jack,The Big Gronkowski,129.3,91.78,Big Sack Jack,The Big Gronkowski,37.52000000000001,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2025,11,The Big Gronkowski,Malle ❤️ 🐸,130.14,106.12,The Big Gronkowski,Malle ❤️ 🐸,24.019999999999982,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2023,4,Voldemort,malle_dips_pouches,130.24,105.6,Voldemort,malle_dips_pouches,24.640000000000015,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2025,10,Ginger FC,Pop Lockett Drop it,130.8,110.44,Ginger FC,Pop Lockett Drop it,20.360000000000014,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2022,10,Post Mahomes,Voldemort,131.1,98.4,Post Mahomes,Voldemort,32.69999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2023,8,Pop Lockett Drop it,malle_dips_pouches,131.1,104.96,Pop Lockett Drop it,malle_dips_pouches,26.14,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2025,13,Post Mahomes,Patty Primetimes,132.04,97.82,Post Mahomes,Patty Primetimes,34.22,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2021,11,Pop Lockett Drop it,Post Mahomes,132.38,106.12,Pop Lockett Drop it,Post Mahomes,26.25999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2022,3,Malle ❤️ 🐸,Big Sack Jack,132.7,85.5,Malle ❤️ 🐸,Big Sack Jack,47.19999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2020,8,The Big Gronkowski,Big Sack Jack,133.3,113.74,The Big Gronkowski,Big Sack Jack,19.560000000000016,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2024,2,ThreatLevelMidnight,Post Mahomes,133.44,105.18,ThreatLevelMidnight,Post Mahomes,28.25999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2025,6,ThreatLevelMidnight,Buttermilk Puuump,133.54,102.42,ThreatLevelMidnight,Buttermilk Puuump,31.11999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2025,2,Buttermilk Puuump,malle_dips_pouches,134.16,88.74,Buttermilk Puuump,malle_dips_pouches,45.42,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2021,8,Malle ❤️ 🐸,Ginger FC,134.2,85.86,Malle ❤️ 🐸,Ginger FC,48.33999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2023,3,Joe Mantegna,Pop Lockett Drop it,134.32,102.0,Joe Mantegna,Pop Lockett Drop it,32.31999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2020,11,Malle ❤️ 🐸,Uncle Rico,134.34,130.84,Malle ❤️ 🐸,Uncle Rico,3.5,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2025,8,Buttermilk Puuump,The Big Gronkowski,134.46,79.02,Buttermilk Puuump,The Big Gronkowski,55.44000000000001,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2023,7,Post Mahomes,Uncle Rico,134.56,81.2,Post Mahomes,Uncle Rico,53.36,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2022,13,Voldemort,Malle ❤️ 🐸,134.72,130.6,Voldemort,Malle ❤️ 🐸,4.1200000000000045,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2019,10,Uncle Rico,ThreatLevelMidnight,134.74,108.02,Uncle Rico,ThreatLevelMidnight,26.720000000000013,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2023,13,Patty Primetimes,Malle ❤️ 🐸,134.9,127.72,Patty Primetimes,Malle ❤️ 🐸,7.180000000000007,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2025,14,Voldemort,Post Mahomes,135.46,117.7,Voldemort,Post Mahomes,17.760000000000005,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2018,11,Post Mahomes,Dillon Panthers,135.48,105.82,Post Mahomes,Dillon Panthers,29.659999999999997,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2019,3,The Big Gronkowski,Joe Mantegna,135.98,102.96,The Big Gronkowski,Joe Mantegna,33.019999999999996,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2020,9,Voldemort,Ginger FC,136.74,119.2,Voldemort,Ginger FC,17.540000000000006,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
